yyyy,mm,dd,hh,temp,sal,co2,do,ph,omega_a,omega_c,TA_calc,datetime,doy,do_mgpl,co2_thermal,co2_corr
2016,9,4,19,16.184649999999998,31.19429571027547,822.12617,303.466796875,7.77755,1.3352994507267286,2.090712067267392,2242.4686519277266,2016-09-04T19:00:00Z,248,9.972509491699219,705.2,688.75
2016,9,4,20,16.15945,31.263937906565122,850.02448,304.6875,7.8292,1.759502817064547,2.754467132312261,2640.74616739195,2016-09-04T20:00:00Z,248,10.012624171875,704.45,712.89
2016,9,4,21,16.328400000000002,31.278068367397076,796.9341,313.232421875,7.7995,1.4488868099115604,2.267298431848432,2302.693922930751,2016-09-04T21:00:00Z,248,10.293426933105469,709.5,663.6
2016,9,4,22,16.38315,31.2809558270826,738.28598,316.89453125,7.8296,1.5403550181373866,2.410235083928605,2299.543020819567,2016-09-04T22:00:00Z,248,10.413770973632813,711.14,613.34
2016,9,4,23,16.7579,31.21868269428642,704.3912,320.6787109375,7.9266,2.3253025902363103,3.635771307902187,2799.31566726979,2016-09-04T23:00:00Z,248,10.538126482177734,722.51,575.98
2016,9,5,0,17.426949999999998,30.978005862329276,732.07997,323.3642578125,7.9069,2.245870629902805,3.5086412351971528,2759.9422346584324,2016-09-05T00:00:00Z,248,10.626378778564453,743.25,581.92
2016,9,5,1,17.65635,30.831518560070165,763.15339,319.3359375,7.8832,2.1160408760039013,3.3055951570714206,2708.7518537257592,2016-09-05T01:00:00Z,248,10.494000333984374,750.49,600.76
2016,9,5,2,17.14095,30.88854776078768,821.70676,306.5185546875,7.87975,2.194349598885732,3.4315965975119793,2883.125533041465,2016-09-05T02:00:00Z,248,10.072796192138672,734.31,661.11
2016,9,5,3,16.8834,30.87990386226781,882.06197,298.583984375,7.79655,1.598901981666143,2.5017231817567955,2516.738177027184,2016-09-05T03:00:00Z,248,9.812050770996096,726.35,717.44
2016,9,5,4,17.0681,30.913276723930014,899.96888,299.6826171875,7.82265,1.86904428200138,2.922952063064934,2751.9697909144097,2016-09-05T04:00:00Z,249,9.848153983154297,732.05,726.31
2016,9,5,5,16.927750000000003,30.940768626158416,893.96319,293.5791015625,7.8341,1.9305049951916722,3.019797474299053,2800.664317601083,2016-09-05T05:00:00Z,249,9.647580582275392,727.72,725.76
2016,9,5,6,16.70195,30.97189893150763,764.24977,303.8330078125,7.8561,1.808635829874565,2.830338397778598,2533.830258037954,2016-09-05T06:00:00Z,249,9.984543895751953,720.8,626.41
2016,9,5,7,16.3144,31.010780796047012,844.62564,297.36328125,7.8342,1.7833890078002528,2.7930486799220096,2650.0022159408763,2016-09-05T07:00:00Z,249,9.771936090820313,709.08,703.73
2016,9,5,8,16.14595,31.042644895500874,877.61096,297.607421875,7.7996,1.5745502541193543,2.466525882174158,2526.776828588817,2016-09-05T08:00:00Z,249,9.779959026855469,704.04,736.44
2016,9,5,9,16.2295,31.143231570034224,820.21664,290.6494140625,7.7891,1.419964910891326,2.223226329777955,2312.6423851303766,2016-09-05T09:00:00Z,249,9.551305349853516,706.54,685.85
