date, datatype, valuestation,attributes
2015-01-16T00:00:00,AWND,5.5,GHCND:USW00014764,",,W,"
2015-01-16T00:00:00,PRCP,0.0,GHCND:USW00014764,"T,,W,2400"
2015-01-16T00:00:00,SNOW,0.0,GHCND:USW00014764,"T,,W,"
2015-01-16T00:00:00,SNWD,150.0,GHCND:USW00014764,",,W,2400"
2015-01-16T00:00:00,TAVG,-3.6,GHCND:USW00014764,"H,,S,"
2015-01-16T00:00:00,TMAX,3.3,GHCND:USW00014764,",,W,2400"
2015-01-16T00:00:00,TMIN,-14.3,GHCND:USW00014764,",,W,2400"
2015-01-16T00:00:00,WDF2,290,GHCND:USW00014764,",,W,"
2015-01-16T00:00:00,WDF5,300,GHCND:USW00014764,",,W,"
2015-01-16T00:00:00,WSF2,15.7,GHCND:USW00014764,",,W,"
2015-01-16T00:00:00,WSF5,19.2,GHCND:USW00014764,",,W,"
2015-01-16T00:00:00,WT01,1,GHCND:USW00014764,",,W,"
2015-01-17T00:00:00,AWND,2.1,GHCND:USW00014764,",,W,"
2015-01-17T00:00:00,PRCP,0.0,GHCND:USW00014764,"T,,W,2400"
2015-01-17T00:00:00,SNOW,0.0,GHCND:USW00014764,"T,,W,"
2015-01-17T00:00:00,SNWD,150.0,GHCND:USW00014764,",,W,2400"
2015-01-17T00:00:00,TAVG,-12.3,GHCND:USW00014764,"H,,S,"
2015-01-17T00:00:00,TMAX,-6.6,GHCND:USW00014764,",,W,2400"
2015-01-17T00:00:00,TMIN,-18.8,GHCND:USW00014764,",,W,2400"
2015-01-17T00:00:00,WDF2,300,GHCND:USW00014764,",,W,"
2015-01-17T00:00:00,WDF5,300,GHCND:USW00014764,",,W,"
2015-01-17T00:00:00,WSF2,6.7,GHCND:USW00014764,",,W,"
2015-01-17T00:00:00,WSF5,8.1,GHCND:USW00014764,",,W,"
2015-01-18T00:00:00,AWND,3.2,GHCND:USW00014764,",,W,"
2015-01-18T00:00:00,PRCP,6.4,GHCND:USW00014764,",,W,2400"
2015-01-18T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
